,Unnamed: 0.1,Unnamed: 0,dataset,rse_id,DTier,size_on_tape_[TB],category
436,579,579,/QCD_bEnriched_HT200to300_TuneCP5_13TeV-madgraph-pythia8/RunIIFall18wmLHEGS-102X_upgrade2018_realistic_v11-v2/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,15.6589,Run 2 pre-legacy MC
443,587,587,/QCD_Pt-1000toInf_MuEnrichedPt5_TuneCP5_13TeV_pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,15.2506,Run 2 pre-legacy MC
444,588,588,/QCD_Pt-15to7000_TuneCUETHS1_Flat_13TeV_herwigpp/RunIIFall17GS-93X_mc2017_realistic_v3-v1/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,15.21255,Run 2 pre-legacy MC
445,589,589,/BsToJpsiPhi_BMuonFilter_SoftQCDnonD_TuneCP5_14TeV-pythia8-evtgen/PhaseIISpr18AODMiniAOD-PU200_93X_upgrade2023_realistic_v5-v2/AODSIM,T0_CH_CERN_Tape,AODSIM,15.19007,Upgrades
450,596,596,/QCD_Pt-40toInf_DoubleEMEnriched_MGG-80toInf_TuneCP5_13TeV_Pythia8/RunIIFall17GS-93X_mc2017_realistic_v3-v1/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,15.00414,Run 2 pre-legacy MC
452,598,598,/BdToPsiKstar_BFilter_SoftQCDnonD_TuneCP5_13TeV-pythia8-evtgen/RunIIFall17GS-93X_mc2017_realistic_v3-v1/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,14.95604,Run 2 pre-legacy MC
456,603,603,/MuOnia/Run2017F-09May2018-v1/AOD,T0_CH_CERN_Tape,AOD,14.82864,Run 2 pre-legacy data
460,613,613,/Tau/Run2017C-17Nov2017-v1/AOD,T0_CH_CERN_Tape,AOD,14.59197,Run 2 pre-legacy data
461,614,614,/MuOnia/Run2017F-17Nov2017-v1/AOD,T0_CH_CERN_Tape,AOD,14.5427,Run 2 pre-legacy data
463,616,616,/SMS-T2bt-LLChipm_ctau-50_TuneCP2_13TeV-madgraphMLM-pythia8/RunIIAutumn18FSPremix-102X_upgrade2018_realistic_v15-v2/AODSIM,T0_CH_CERN_Tape,AODSIM,14.49498,Run 2 pre-legacy MC
470,626,626,/JpsiToMuMu_JpsiPt8_TuneCP5_13TeV-pythia8/RunIIFall17GS-93X_mc2017_realistic_v3-v2/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,14.1696,Run 2 pre-legacy MC
471,627,627,/QCD_HT1500to2000_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall18wmLHEGS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,14.15491,Run 2 pre-legacy MC
472,628,628,/SMS-T2bt-LLChipm_ctau-10_TuneCP2_13TeV-madgraphMLM-pythia8/RunIIAutumn18FSPremix-102X_upgrade2018_realistic_v15-v3/AODSIM,T0_CH_CERN_Tape,AODSIM,14.14264,Run 2 pre-legacy MC
473,629,629,/Muplusandminus_Pt3to150-gun/RunIISummer16DR80-NoPU_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v3/AODSIM,T0_CH_CERN_Tape,AODSIM,14.11681,Run 2 pre-legacy MC
475,632,632,/Tau/Run2017E-17Nov2017-v1/AOD,T0_CH_CERN_Tape,AOD,14.00917,Run 2 pre-legacy data
483,640,640,/DYJetsToLL_M-105To160_VBFFilter_TuneCP5_PSweights_13TeV-amcatnloFXFX-pythia8/RunIIFall18wmLHEGS-VBFPostMGFilter_102X_upgrade2018_realistic_v11_ext1-v1/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,13.8646,Run 2 pre-legacy MC
487,644,644,/WJetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIWinter19PFCalib16wmLHEGS-105X_mcRun2_design_v1-v2/LHE,T0_CH_CERN_Tape,LHE,13.82049,Run 2 pre-legacy MC
488,645,645,/DoubleMuonLowMass/Run2018A-17Sep2018-v1/AOD,T0_CH_CERN_Tape,AOD,13.81227,Run 2 pre-legacy data
