dataset,RSE Name,dataset_size_in_rse_tb,last_access_time_of_dataset_in_rse,last_access_time_of_dataset_in_rse,#_files_of_dataset_in_rse,#_accessed_files_of_dataset_in_rse,unique_accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/HIMinimumBias2/HIRun2015-PromptReco-v1/AOD,T2_US_Vanderbilt,61.2536,6/19/20,1592595475000,19781,19781,['sync_t2_us_vanderbilt'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/TT_TuneCP5_14TeV-powheg-pythia8/Phase2HLTTDRWinter20DIGI-PU200_110X_mcRun4_realistic_v3-v2/GEN-SIM-DIGI-RAW,T1_FR_CCIN2P3_Disk,4.99968,8/10/21,1628595193000,500,500,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/JpsiToMuMu_JpsiPt8_TuneCP5_13TeV-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,T2_US_Florida,1.74903,8/26/21,1629977857000,595,595,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/SMS-T2bt-LLChipm_ctau-10_TuneCP2_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PUFall17Fast_94X_mc2017_realistic_v15_ext1-v1/MINIAODSIM,T1_US_FNAL_Disk,2.1486,5/22/20,1590181824000,916,916,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/SMS-T7WgStealth_TuneCP2_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PUFall17Fast_94X_mc2017_realistic_v15-v1/MINIAODSIM,T2_US_Wisconsin,4.34323,5/22/20,1590180522000,1271,1271,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/WJetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v3/MINIAODSIM,T2_DE_DESY,1.18294,8/7/21,1628323215000,490,490,['t2_de_desy_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/TTToSemiLep_hdampUP_TuneCUETP8M2T4_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM,T1_US_FNAL_Disk,1.07858,1/1/70,0,460,460,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/StreamExpress/Run2018D-SiStripCalMinBias-Express-v1/ALCARECO,T2_CH_CERN,60.05601,7/8/21,1625736411000,123815,123815,['sync_t2_ch_cern'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/DYJetsToTauTau_M-50_AtLeastOneEorMuDecay_massWgtFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,T1_US_FNAL_Disk,1.32332,1/1/70,0,438,438,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/QCD_HT-1000ToInf_TuneZ2star_8TeV-madgraph-pythia6/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,T2_DE_DESY,5.85327,9/29/20,1601410338000,1655,1655,['t2_de_desy_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/ZeroBias/Run2017E-09Aug2019_UL2017-v1/MINIAOD,T2_US_Nebraska,1.85511,8/31/21,1630429180000,671,671,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/SingleElectron/Run2012D-22Jan2013-v1/AOD,T2_FR_GRIF_IRFU,31.66968,9/23/20,1600890207000,8010,8010,['t2_fr_grif_irfu_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/JetHT/Run2016B-03Feb2017_ver2-v2/MINIAOD,T2_UK_London_IC,4.23528,8/14/21,1628899734000,1101,1101,['t2_uk_london_ic_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/ZeroBias/Run2016C-23Sep2016-v1/AOD,T1_IT_CNAF_Disk,1.39697,6/17/20,1592396887000,390,390,['t1_it_cnaf_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/SingleElectron/Run2016F-23Sep2016-v1/MINIAOD,T2_IT_Legnaro,1.83041,1/1/70,0,829,829,['t2_it_legnaro_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/DoubleMuon/Run2016G-23Sep2016-v1/MINIAOD,T2_US_Purdue,1.18063,1/1/70,0,544,544,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/PADTrack1/PARun2016C-PromptReco-v1/AOD,T2_US_Vanderbilt,57.75141,1/1/70,0,20505,20505,['sync_t2_us_vanderbilt'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/DoubleMuon/Run2016H-03Feb2017_ver2-v1/MINIAOD,T1_US_FNAL_Disk,1.41558,12/11/20,1607648481000,374,374,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/SingleMuon/Run2017C-31Mar2018-v1/MINIAOD,T2_DE_DESY,4.57891,1/19/38,2147483647000,1248,1248,['t2_de_desy_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/ParkingBPH5/Run2018D-PromptReco-v2/MINIAOD,T2_US_Nebraska,3.5014,1/1/70,0,1042,1042,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/ZeroBias/Run2018D-SiStripCalMinBias-12Nov2019_UL2018-v3/ALCARECO,T1_US_FNAL_Disk,54.5837,1/20/20,1579523921000,17473,17473,['sync_t1_us_fnal_disk'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/HIMinimumBias9/HIRun2018A-04Apr2019-v1/AOD,T2_US_Vanderbilt,103.46607,10/6/21,1633503356000,34727,34727,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/DoubleElectron_FlatPt-1To500/Run3Summer21MiniAOD-FlatPU0to70IDEALGT_120X_mcRun3_2021_realistic_v5-v2/MINIAODSIM,T1_US_FNAL_Disk,2.35065,1/1/70,0,596,596,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/PMSSM_set_2_LL_2_TuneCP2_13TeV-pythia8/RunIIAutumn18MiniAOD-PUFall18Fast_GridpackScan_102X_upgrade2018_realistic_v15-v1/MINIAODSIM,T1_US_FNAL_Disk,8.47935,1/1/70,0,2391,2391,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/SUSYGluGluToBBHToBB_M-160_TuneCP5_13TeV-amcatnlo-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,T2_US_MIT,1.1103,9/1/20,1598956310000,478,478,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/BsToPsiPhi_BMuonFilter_SoftQCDnonD_TuneCP5_13TeV-pythia8-evtgen/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v2/MINIAODSIM,T2_US_Wisconsin,1.60706,8/11/21,1628707201000,872,872,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/SMS-T1qqqq_TuneCP2_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PUFall17Fast_94X_mc2017_realistic_v15-v1/MINIAODSIM,T2_US_Wisconsin,1.84447,1/1/70,0,757,757,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/TT_Mtt-1000toInf_TuneCP5_13TeV-powheg-pythia8/Run3Winter20DRMiniAOD-DRFlatPU30to80_110X_mcRun3_2021_realistic_v6-v1/GEN-SIM-RAW,T1_US_FNAL_Disk,51.63265,4/16/20,1587021841000,13535,13535,['sync_t1_us_fnal_disk'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/W1JetsToLNu_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16DR80Premix-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/AODSIM,T2_BE_IIHE,12.83932,12/25/16,1482660264000,3785,3785,['t2_be_iihe_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/DYJetsToLL_Pt-100To250_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext5-v1/MINIAODSIM,T2_ES_CIEMAT,2.83032,2/19/20,1582141648000,1056,1056,['t2_es_ciemat_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/TTJets_SingleLeptFromTbar_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM,T2_BE_IIHE,2.13276,9/25/20,1601061340000,559,559,['t2_be_iihe_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/TT_hdampDOWN_TuneCUETP8M2T4_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,T2_US_Purdue,1.28666,5/29/20,1590735909000,555,555,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/QCD_Pt_600to800_TuneCP5_13TeV_pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v1/MINIAODSIM,T1_US_FNAL_Disk,1.64292,10/2/21,1633171226000,695,695,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/ST_t-channel_top_4f_InclusiveDecays_mtop1695_TuneCP5_13TeV-powheg-madspin-pythia8/RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v3/MINIAODSIM,T1_US_FNAL_Disk,1.68376,1/1/70,0,852,852,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/TTTo2L2Nu_widthx1p15_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v1/MINIAODSIM,T1_US_FNAL_Disk,2.77897,7/24/21,1627138792000,1039,1039,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/TTJets_FullLeptMGDecays_8TeV-madgraph/Summer12_DR53X-PU_RD1_START53_V7N-v1/AODSIM,T3_CH_CERN_OpenData,4.16093,1/1/70,0,1320,1320,['t3_ch_cern_opendata_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/WGToLNuG_TuneZ2star_8TeV-madgraph-tauola/Summer12_DR53X-PU_RD1_START53_V7N-v1/AODSIM,T3_CH_CERN_OpenData,1.36354,1/1/70,0,333,333,['t3_ch_cern_opendata_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/HTMHT/Run2016H-07Aug17-v1/MINIAOD,T2_UK_London_IC,1.06754,1/1/70,0,426,426,['t2_uk_london_ic_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/ZeroBias16/Commissioning2021-PromptReco-v1/AOD,T1_US_FNAL_Disk,1.10627,1/1/70,0,369,369,['tier0_prod'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/PhotonHad/Run2011B-12Oct2013-v1/AOD,T3_CH_CERN_OpenData,2.33156,1/1/70,0,771,771,['t3_ch_cern_opendata_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/TOTEM_romanPots2_6/Run2015D-v1/RAW,T2_BE_IIHE,1.21254,1/1/70,0,390,390,['t2_be_iihe_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Charmonium/Run2016G-18Apr2017-v1/MINIAOD,T2_US_Purdue,1.40963,1/1/70,0,591,591,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/ParkingBPH4/Run2018B-PromptReco-v1/MINIAOD,T2_US_Wisconsin,1.3788,1/1/70,0,430,430,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/ZeroBias/Run2018D-SiStripCalMinBias-12Nov2019_UL2018-v3/ALCARECO,T2_BR_SPRACE,49.46893,1/20/20,1579523921000,15810,15810,['sync_t2_br_sprace'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/VBFHToTauTau_M125_13TeV_powheg_pythia8/PhaseIFall16DR-FlatPU28to62HcalNZSRAW_90X_upgrade2017_realistic_v6_C1-v1/GEN-SIM-RAW,T2_UK_London_IC,5.82481,1/1/70,0,1696,1696,['t2_uk_london_ic_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/SingleNeutrino_E10-gun/Run3Winter21DRMiniAOD-FlatPU30to80FEVT_SNB_112X_mcRun3_2021_realistic_v16-v2/GEN-SIM-DIGI-RAW,T2_AT_Vienna,9.6917,1/1/70,0,2498,2498,['sonawane'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/HIMinimumBias4/HIRun2015-PromptReco-v1/AOD,T2_US_Vanderbilt,44.72138,1/1/70,0,14732,14732,['sync_t2_us_vanderbilt'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/HIMinimumBias3/HIRun2015-PromptReco-v1/AOD,T2_US_Vanderbilt,44.70809,1/1/70,0,14749,14749,['sync_t2_us_vanderbilt'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/ST_t-channel_antitop_4f_inclusiveDecays_13TeV-powhegV2-madspin-pythia8_TuneCUETP8M1/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/MINIAODSIM,T3_CH_CERN_OpenData,1.07341,1/1/70,0,935,935,['kati'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/ggH_HToSSTobbbb_MH-125_TuneCP5_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_rp_94X_mc2017_realistic_v14-v1/MINIAODSIM,T1_US_FNAL_Disk,1.37492,11/18/20,1605711007000,602,602,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/PAMinBiasUPC/HIRun2013-PromptReco-v1/RECO,T2_US_Vanderbilt,44.41619,1/1/70,0,8345,8345,['sync_t2_us_vanderbilt'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/MinimumBias/Run2012C-22Jan2013-v1/AOD,T3_CH_CERN_OpenData,7.77432,1/1/70,0,2000,2000,['t3_ch_cern_opendata_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/SingleMuon/Run2016C-v2/RAW,T1_US_FNAL_Disk,43.18092,11/15/20,1605460558000,13723,13723,['t1_us_fnal_disk_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/SinglePhoton/Run2016D-07Aug17-v1/AOD,T2_BE_IIHE,6.25126,6/3/20,1591216541000,1926,1926,['t2_be_iihe_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/SinglePhoton/Run2017E-17Nov2017-v1/AOD,T1_US_FNAL_Disk,6.22121,10/1/20,1601515623000,1857,1857,['t1_us_fnal_disk_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/ParkingBPH1/Run2018A-UL2018_MiniAODv2-v1/MINIAOD,T1_US_FNAL_Disk,10.69978,1/1/70,0,3269,3269,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/Charmonium/Run2018B-UL2018_MiniAODv2-v1/MINIAOD,T1_US_FNAL_Disk,1.15049,8/12/21,1628728175000,330,330,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
