,dataset,RSE Name,dataset_size_in_rse_tb,last_access_time_of_dataset_in_rse,last_access_time_of_dataset_in_rse.1,#_files_of_dataset_in_rse,#_accessed_files_of_dataset_in_rse,unique_accounts,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,category
2367,/TTToHadronic_mtop171p5_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2/MINIAODSIM,T2_US_MIT,1.62302,8/3/21,1628003394000,537,537,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy MC
2374,/SingleMuon/Run2016E-ZMu-21Feb2020_UL2016_HIPM-v1/RAW-RECO,T2_FR_IPHC,12.21394,1/1/70,0,3432,3432,['blochd'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy data
2376,/SingleMuon/Run2016G-UL2016_MiniAODv2-v1/MINIAOD,T2_US_Nebraska,1.11222,1/1/70,0,297,297,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy data
2380,/ParkingBPH2/Run2018D-UL2018_MiniAODv2-v1/MINIAOD,T2_US_UCSD,31.06283,1/1/70,0,9614,9614,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy data
2382,/SingleMuon/Run2017E-SiPixelCalSingleMuon-ForPixelALCARECO_UL2017-v1/ALCARECO,T2_HU_Budapest,2.09192,2/2/21,1612268622000,945,945,['sync_t2_hu_budapest'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy data
2383,/QCD_Pt_30to50_TuneCP5_14TeV_pythia8/Phase2HLTTDRWinter20DIGI-PU200_110X_mcRun4_realistic_v3-v2/GEN-SIM-DIGI-RAW,T2_EE_Estonia,16.72802,1/1/70,0,1121,1121,['rdewanje'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upgrades
2386,/JetHT/Run2018D-HcalCalIsoTrkFilter-12Nov2019_UL2018_rsb-v1/ALCARECO,T2_UK_London_Brunel,2.08904,6/26/20,1593134526000,695,695,['sync_t2_uk_london_brunel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy data
2397,/WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,T1_US_FNAL_Disk,5.47866,1/1/70,0,1488,1488,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy MC
2399,/WminusToTauNu_CT10_8TeV-powheg-pythia6-tauola/Summer12_DR53X-PU_S10_START53_V19-v1/AODSIM,T3_CH_CERN_OpenData,1.44787,1/1/70,0,432,432,['t3_ch_cern_opendata_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPOA
2400,/VRRandom14/Commissioning2021-v1/RAW,T1_US_FNAL_Disk,1.61072,1/1/70,0,503,503,['tier0_prod'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commissioning + Cosmics
2401,/QCD_Pt15to7000_TuneCP5_14TeV-pythia8/Run3Summer21MiniAOD-NoPUFEVT_castor_120X_mcRun3_2021_realistic_v5-v1/MINIAODSIM,T1_US_FNAL_Disk,2.33711,1/1/70,0,391,391,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 3
2402,/Cosmics/Commissioning2021-LogError-PromptReco-v1/RAW-RECO,T1_US_FNAL_Disk,1.37364,1/1/70,0,1452,1452,['tier0_prod'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commissioning + Cosmics
2403,/VRRandom15/Commissioning2021-v1/RAW,T1_US_FNAL_Disk,1.6076,1/1/70,0,503,503,['tier0_prod'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commissioning + Cosmics
2408,/DoubleMuonLowMass/Run2017E-09Aug2019_UL2017-v1/MINIAOD,T1_US_FNAL_Disk,1.29234,9/17/21,1631911002000,495,495,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy data
2413,/VBFHToTauTau_M125_14TeV_powheg_pythia8_correctedGridpack_tuneCP5/Phase2HLTTDRWinter20DIGI-PU200_110X_mcRun4_realistic_v3-v3/GEN-SIM-DIGI-RAW,T2_EE_Estonia,10.09656,8/30/20,1598785229000,2113,2113,['snandan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upgrades
2423,/QCD_Pt-80To120_MuEnrichedPt5_TuneCP5_13TeV-pythia8/RunIISummer20UL17MiniAODv2-106X_mc2017_realistic_v9-v2/MINIAODSIM,T1_US_FNAL_Disk,1.97851,1/1/70,0,775,775,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy MC
2424,/TTToHadronic_mtop171p5_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2/MINIAODSIM,T1_US_FNAL_Disk,3.22511,8/5/21,1628150996000,1090,1090,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy MC
2425,/WGToLNuG_01J_5f_PtG_130_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v1/MINIAODSIM,T2_US_MIT,1.05508,1/20/21,1611132071000,437,437,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy MC
