,dataset,RSE Name,dataset_size_in_rse_tb,last_access_time_of_dataset_in_rse,last_access_time_of_dataset_in_rse.1,#_files_of_dataset_in_rse,#_accessed_files_of_dataset_in_rse,unique_accounts,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,category
2477,/SingleElectron/Run2017E-31Mar2018-v1/MINIAOD,T2_DE_DESY,3.47257,1/19/38,2147483647000,1054,1054,['t2_de_desy_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2478,/EphemeralHLTPhysics7/Run2018D-v1/RAW,T2_BE_IIHE,1.98505,8/3/21,1628030786000,433,433,['lathomas'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2479,/WGToLNuG_01J_5f_PDFWeights_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14_ext1-v2/MINIAODSIM,T1_US_FNAL_Disk,1.41127,7/29/21,1627583029000,453,453,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2480,/TT_hdampUP_TuneCUETP8M2T4_13TeV-powheg-pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3_ext1-v2/MINIAODSIM,T2_US_Purdue,1.2826,10/2/20,1601652095000,235,235,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2483,/SingleMuon/Run2016E-03Feb2017-v1/MINIAOD,T2_BE_IIHE,2.29542,6/7/20,1591533727000,637,637,['t2_be_iihe_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2485,/DYToMuMuorEleEle_M-20_14TeV_pythia8/PhaseIITDRSpring19DR-PU300_106X_upgrade2023_realistic_v3_ext1-v2/AODSIM,T2_US_Wisconsin,2.01083,1/1/70,0,669,669,['sync_t2_us_wisconsin'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upgrades
2489,/ZeroBias0/Run2022A-PromptReco-v1/MINIAOD,T1_US_FNAL_Disk,1.0452,1/1/70,0,464,464,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prompt
2490,/TTTo2L2Nu_TuneCUETP8M1_14TeV-powheg-pythia8/PhaseIITDRFall17DR-PU200_93X_upgrade2023_realistic_v2_ext2-v1/GEN-SIM-RECO,T1_DE_KIT_Disk,24.95426,1/1/70,0,768,768,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upgrades
2491,/SUSYGluGluToBBHToBB_M-350_TuneCP5_13TeV-amcatnlo-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,T1_US_FNAL_Disk,1.14541,8/31/20,1598894276000,467,467,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2492,/TTTo2L2Nu_TuneCP5up_13TeV-powheg-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15_ext2-v3/MINIAODSIM,T1_US_FNAL_Disk,1.74483,7/28/21,1627500806000,450,450,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2493,/TTToHadronic_mtop175p5_TuneCP5_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_new_pmx_94X_mc2017_realistic_v14-v2/MINIAODSIM,T2_DE_DESY,1.09043,7/27/21,1627359774000,320,320,['t2_de_desy_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2494,/QCD_Pt-120to170_EMEnriched_TuneCUETP8M1_13TeV_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,T2_DE_DESY,1.27068,9/22/20,1600781625000,632,632,['t2_de_desy_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2495,/W3JetsToLNu_NuPt-100-200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,T2_US_Purdue,1.08719,1/1/70,0,334,334,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2496,/WJetsToLNu_Wpt-50To100_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,T2_US_Florida,2.35502,9/28/20,1601332159000,1079,1079,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2497,/BdToKstaree_Mufilter_SoftQCDnonD_TuneCP5_13TeV-pythia8-evtgen/RunIIAutumn18RECOBParking-PUPoissonAve20_BParking_102X_upgrade2018_realistic_v15_ext1-v1/AODSIM,T2_CH_CERN,2.00903,1/1/70,0,744,744,['sync_t2_ch_cern'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy MC
2500,/ScoutingCaloHT/Run2016E-v2/RAW,T3_US_FNALLPC,2.00632,1/1/70,0,780,780,['sync_t3_us_fnallpc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2501,/WJetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v3/MINIAODSIM,T1_US_FNAL_Disk,1.18294,8/7/21,1628323215000,490,490,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2503,/SingleMuon/Run2016E-18Apr2017-v1/MINIAOD,T1_US_FNAL_Disk,2.03971,1/1/70,0,646,646,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
2505,/ZeroBias/Run2017D-31Mar2018-v1/MINIAOD,T1_US_FNAL_Disk,1.15539,12/9/20,1607475710000,336,336,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2506,/DYJetsToLL_M-1to4_HT-400to600_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall17DRPremix-PU2017_94X_mc2017_realistic_v11-v1/AODSIM,T3_US_FNALLPC,2.00108,1/1/70,0,532,532,['sync_t3_us_fnallpc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy MC
2507,/Cosmics/Run2016G-UL16-v1/RECO,T1_FR_CCIN2P3_Disk,1.98575,1/1/70,0,599,599,['sync_t1_fr_ccin2p3_disk'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2508,/Charmonium/Run2017F-09May2018-v1/MINIAOD,T2_US_Wisconsin,2.44448,10/2/20,1601653978000,811,811,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
2509,/BuToKee_MufilterPt6_SoftQCDnonD_TuneCP5_13TeV-pythia8-evtgen/RunIIAutumn18MiniAOD-PUPoissonAve20_BParking_102X_upgrade2018_realistic_v15-v1/MINIAODSIM,T1_US_FNAL_Disk,2.20426,11/20/20,1605861516000,786,786,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2510,/SMS-T6qqllslepton_TuneCP2_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-PUFall18Fast_102X_upgrade2018_realistic_v15-v1/MINIAODSIM,T2_US_Wisconsin,3.59357,5/22/20,1590177146000,1427,1427,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2511,/TTJets_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,T1_US_FNAL_Disk,8.43165,12/4/20,1607047497000,2304,2304,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2512,/QCD_Pt-300to470_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext2-v1/MINIAODSIM,T2_DE_DESY,1.16704,9/10/20,1599757618000,337,337,['t2_de_desy_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2513,/TT_TuneCUETP8M2T4_mtop1755_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,T1_US_FNAL_Disk,1.30587,5/27/20,1590576875000,412,412,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
2515,/QCD_Pt_40to80_fwdJet_Tune23_HFshowerLibrary_7TeV_herwigpp/Summer12-LowPU2010_DR42_PU_S0_START42_V17B-v1/AODSIM,T3_CH_CERN_OpenData,1.39101,1/1/70,0,376,376,['t3_ch_cern_opendata_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPOA
