,dataset,RSE Name,dataset_size_in_rse_tb,last_access_time_of_dataset_in_rse,last_access_time_of_dataset_in_rse.1,#_files_of_dataset_in_rse,#_accessed_files_of_dataset_in_rse,unique_accounts,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,category
920,/TTTo2L2Nu_TuneCP5down_PSweights_13TeV-powheg-pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3_ext2-v1/MINIAODSIM,T1_US_FNAL_Disk,1.27402,7/30/21,1627645663000,405,405,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
921,/TT_TuneCUETP8M2T4_13TeV-powheg-pythia8/RunIISummer16MiniAODv3-PUMoriond17_backup_94X_mcRun2_asymptotic_v3-v2/MINIAODSIM,T2_US_Florida,3.3923,9/19/21,1632092231000,552,552,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
925,/PMSSM_set_2_LL_2_TuneCP2_13TeV-pythia8/RunIIAutumn18MiniAOD-PUFall18Fast_GridpackScan_102X_upgrade2018_realistic_v15-v1/MINIAODSIM,T2_US_Vanderbilt,1.0867,1/1/70,0,326,326,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
926,/Commissioning/Run2012C-22Jan2013-v1/AOD,T3_CH_CERN_OpenData,4.46208,1/1/70,0,1314,1314,['t3_ch_cern_opendata_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPOA
927,/DoubleEG/Run2016C-17Jul2018-v1/MINIAOD,T3_FR_IPNL,1.26402,8/16/21,1629138480000,427,427,['t3_fr_ipnl_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
928,/Tau/Run2016F-18Apr2017-v1/MINIAOD,T2_US_Purdue,1.03577,1/1/70,0,466,466,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
929,/SinglePhoton/Run2016H-PromptReco-v2/MINIAOD,T2_UK_London_IC,1.04873,1/1/70,0,526,526,['t2_uk_london_ic_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prompt
930,/JetHT/Run2017C-31Mar2018-v1/MINIAOD,T2_DE_DESY,3.10225,1/19/38,2147483647000,941,941,['t2_de_desy_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
931,/MuOnia/Run2017E-17Nov2017-v1/MINIAOD,T1_US_FNAL_Disk,1.17934,1/1/70,0,420,420,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
932,/ST_tW_antitop_5f_NoFullyHadronicDecays_mtop1755_TuneCP5_13TeV-powheg-pythia8/RunIISummer19UL17DIGIPremix-BACKFILL_106X_mc2017_realistic_v6-v4/GEN-SIM-DIGI,T2_UK_SGrid_Bristol,6.66614,9/27/20,1601230295000,454,454,['sync_t2_uk_sgrid_bristol'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy MC
933,/MuonEG/Run2018A-17Sep2018-v1/MINIAOD,T2_US_Purdue,1.49454,10/8/21,1633723104000,541,541,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
936,/ScoutingPFMonitor/Run2022C-PromptReco-v1/MINIAOD,T2_US_UCSD,3.44009,1/1/70,0,1084,1084,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prompt
937,/BuToMuMuK_BMuonFilter_SoftQCDnonD_TuneCP5_13TeV-pythia8-evtgen/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,T1_US_FNAL_Disk,2.95328,7/16/20,1594931939000,1065,1065,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
938,/DY2JetsToLL_M-50_LHEZpT_50-150_TuneCP5_13TeV-amcnloFXFX-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14_ext1-v1/MINIAODSIM,T2_US_Purdue,2.04176,10/1/21,1633101697000,640,640,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LHE
939,/TT_Mtt-1000toInf_TuneCP5_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14_ext1-v1/MINIAODSIM,T2_US_Nebraska,1.39643,7/23/21,1627083475000,522,522,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
940,/W1JetsToLNu_LHEWpT_150-250_TuneCP5_13TeV-amcnloFXFX-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,T2_DE_DESY,5.74044,5/12/20,1589307747000,1706,1706,['t2_de_desy_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LHE
941,/WZTo3LNu_mllmin01_NNPDF31_TuneCP5_13TeV_powheg_pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v4/MINIAODSIM,T1_US_FNAL_Disk,2.80476,10/31/20,1604157199000,1481,1481,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
942,/MinBiasDown_13TeV_pythia8/RunIISummer17GS-92X_upgrade2017_realistic_v7_NERSCTEST-v5/GEN-SIM,T1_US_FNAL_Disk,6.16705,1/1/70,0,1651,1651,['t1_us_fnal_disk_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
945,/DoubleMuon/Run2016B-03Feb2017_ver2-v2/MINIAOD,T2_IN_TIFR,1.94034,12/3/20,1607010792000,514,514,['t2_in_tifr_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
947,/SingleElectron/Run2012C-22Jan2013-v1/AOD,T2_FR_GRIF_IRFU,27.26723,9/23/20,1600888641000,7432,7432,['t2_fr_grif_irfu_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPOA
948,/TOTEM_romanPots2_7/Run2015D-v1/RAW,T2_BE_IIHE,1.21299,1/1/70,0,390,390,['t2_be_iihe_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPOA
949,/JetHT/Run2016C-23Sep2016-v1/MINIAOD,T2_UK_London_IC,1.30547,11/12/20,1605166672000,546,546,['t2_uk_london_ic_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
950,/SingleMuon/Run2016D-03Feb2017-v1/MINIAOD,T2_UK_London_IC,2.33112,6/7/20,1591541218000,684,684,['t2_uk_london_ic_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
951,/TauTo3Mu_TuneCP5_14TeV-pythia8/PhaseIITDRSpring19DR-PU200_106X_upgrade2023_realistic_v3-v1/GEN-SIM-DIGI-RAW,T1_DE_KIT_Disk,6.50684,1/1/70,0,151,151,['sync_t1_de_kit_disk'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upgrades
952,/DoubleEG/Run2016G-03Feb2017-v1/MINIAOD,T1_US_FNAL_Disk,3.01263,9/10/20,1599749582000,823,823,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
953,/DoubleMuon/Run2016G-03Feb2017-v1/MINIAOD,T2_BE_IIHE,1.3295,5/6/20,1588763673000,355,355,['t2_be_iihe_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
954,/HTMHT/Run2016H-18Apr2017-v1/MINIAOD,T2_UK_London_IC,1.03611,1/1/70,0,384,384,['t2_uk_london_ic_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
955,/MET/Run2017E-31Mar2018-v1/MINIAOD,T2_DE_DESY,2.70972,1/19/38,2147483647000,903,903,['t2_de_desy_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
956,/HIZeroBias11/Run2017G-17Nov2017-v1/AOD,T2_US_Vanderbilt,10.75891,8/29/21,1630210798000,3227,3227,['tuos'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
957,/MET/Run2018D-PromptReco-v2/MINIAOD,T2_CH_CERN,6.93679,1/19/38,2147483647000,2640,2640,['t2_ch_cern_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
958,/Cosmics/Run2015C-UL15-v1/RECO,T1_FR_CCIN2P3_Disk,6.47511,1/1/70,0,1690,1690,"['sync_t2_fr_ccin2p3', 'sync_t1_fr_ccin2p3_disk']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPOA
959,/ParkingBPH1/Run2018A-05May2019-v1/AOD,T2_BR_SPRACE,6.46892,12/11/20,1607705687000,1729,1729,['sync_t2_br_sprace'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Parking
960,/Cosmics/Run2017E-UL17-v1/RECO,T1_FR_CCIN2P3_Disk,6.39714,1/1/70,0,919,919,"['sync_t2_fr_ccin2p3', 'sync_t1_fr_ccin2p3_disk']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
961,/QCD_Pt-30to50_EMEnriched_TuneCP5_14TeV_pythia8/PhaseIITDRSpring19DR-PU200_106X_upgrade2023_realistic_v3-v2/GEN-SIM-DIGI-RAW,T1_RU_JINR_Disk,4.98451,1/1/70,0,308,308,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upgrades
963,/BsToPhiTauTau_probefiilter_SoftQCDnonD_TuneCP5_13TeV-pythia8-evtgen/RunIIAutumn18MiniAOD-PUPoissonAve20_BParking_102X_upgrade2018_realistic_v15-v1/MINIAODSIM,T2_US_Nebraska,1.73922,8/29/21,1630262455000,643,643,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
964,/SMS-T7WgStealth_TuneCP2_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-PUFall18Fast_102X_upgrade2018_realistic_v15-v1/MINIAODSIM,T1_US_FNAL_Disk,6.57294,5/24/20,1590296139000,2112,2112,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
965,/MSSMD_mH_125_mN1_10_mGammaD_0p25_cT_50_TuneCP5_13TeV-madgraph-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,T1_US_FNAL_Disk,2.19549,1/1/70,0,1002,1002,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
966,/TT_Mtt-700to1000_TuneCP5_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14_ext1-v4/MINIAODSIM,T2_US_Nebraska,2.0413,7/28/21,1627459329000,652,652,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
967,/TTToSemilepton_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v2/MINIAODSIM,T2_DE_DESY,6.71364,1/19/38,2147483647000,1142,1142,['t2_de_desy_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
972,/SinglePhoton/Run2016B-07Aug17_ver2-v1/MINIAOD,T2_US_Florida,1.29506,1/1/70,0,485,485,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
973,/SingleMuon/Run2016F-17Jul2018-v1/MINIAOD,T1_US_FNAL_Disk,1.52836,9/21/21,1632260212000,462,462,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
974,/Charmonium/Run2016G-03Feb2017-v1/MINIAOD,T2_US_Nebraska,1.52718,7/25/20,1595639763000,385,385,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
975,/HTMHT/Run2016H-PromptReco-v2/MINIAOD,T2_UK_London_IC,1.08727,1/1/70,0,598,598,['t2_uk_london_ic_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prompt
977,/HighMultiplicityEOF2/Run2017C-v1/RAW,T2_RU_ITEP,1.69217,1/1/70,0,314,314,['t2_ru_itep_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
981,/VBFHToTauTau_M125_13TeV_powheg_pythia8/PhaseIFall16DR-FlatPU28to62HcalNZSRAW_90X_upgrade2017_realistic_v6_C1-v1/GEN-SIM-RAW,T2_FR_GRIF_LLR,5.82481,1/1/70,0,1696,1696,['t2_fr_grif_llr_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upgrades
982,/AlCaPhiSym/Run2017F-v1/RAW,T2_CH_CERN,6.28313,1/19/38,2147483647000,2353,2353,['sync_t2_ch_cern'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
983,/BsToMuMu_TuneCP5_14TeV-pythia8/PhaseIITDRSpring19DR-PU200_106X_upgrade2023_realistic_v3-v1/GEN-SIM-DIGI-RAW,T1_DE_KIT_Disk,6.28134,8/23/21,1629729196000,145,145,['sync_t1_de_kit_disk'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upgrades
985,/SUSYGluGluToBBHToBB_M-400_TuneCP5_13TeV-amcatnlo-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,T2_US_Purdue,1.12772,8/31/20,1598892545000,651,651,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
986,/WGToLNuG_01J_5f_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15_ext1-v1/MINIAODSIM,T2_DE_DESY,1.11668,10/7/20,1602092784000,430,430,['t2_de_desy_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
987,/SMS-T2bt-LLChipm_ctau-200_TuneCP2_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PUFall17Fast_94X_mc2017_realistic_v15-v1/MINIAODSIM,T2_US_UCSD,1.43351,5/22/20,1590184108000,512,512,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
988,/ST_t-channel_antitop_4f_InclusiveDecays_TuneCP5_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,T2_DE_DESY,3.06476,8/7/21,1628324471000,1288,1288,['t2_de_desy_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
989,/TTJets_HT-800to1200_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,T3_US_FNALLPC,3.03384,5/22/20,1590179021000,1165,1165,['t3_us_fnallpc_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
990,/DY1JetsToLL_M-50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,T2_US_Nebraska,1.97608,3/8/20,1583691019000,986,986,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
991,/QCD_HT100to200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,T2_BE_IIHE,2.39073,11/10/20,1605047896000,738,738,['t2_be_iihe_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
992,/ZZTo4Q_13TeV_amcatnloFXFX_madspin_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,T2_US_MIT,1.05443,2/12/20,1581505008000,648,648,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
993,/JpsiToMuMu_JpsiPt8_TuneCUEP8M1_13TeV-pythia8/RunIISummer16MiniAODv3-NoPU_94X_mcRun2_asymptotic_v3_ext1-v2/MINIAODSIM,T1_US_FNAL_Disk,1.68844,1/19/38,2147483647000,757,757,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
994,/TTToSemiLeptonic_TuneCP5up_PSweights_13TeV-powheg-pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v1/MINIAODSIM,T2_DE_DESY,1.32644,7/28/21,1627432164000,360,360,['t2_de_desy_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
1000,/DoubleEG/CMSSW_9_2_13-2017_10_27_20_33_HLTnewco_92X_dataRun2_HLT_EcalPed_w43_2017-v1/RECO,T2_BE_IIHE,1.21716,1/1/70,0,387,387,['t2_be_iihe_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
1001,/DoublePhoton/Run2012B-22Jan2013-v1/AOD,T3_US_Princeton_ICSE,6.28121,1/1/70,0,1612,1612,['sync_t3_us_princeton_icse'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPOA
1003,/DoublePhotonHighPt/Run2012B-22Jan2013-v1/AOD,T3_CH_CERN_OpenData,3.43861,1/1/70,0,1008,1008,['t3_ch_cern_opendata_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPOA
1004,/SingleMuon/Run2017C-PromptReco-v3/AOD,T2_CH_CERN,6.26807,1/1/70,0,2127,2127,['sync_t2_ch_cern'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prompt
1005,/SingleMuon/Run2016F-PromptReco-v1/MINIAOD,T2_UK_London_IC,1.52189,1/1/70,0,714,714,['t2_uk_london_ic_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prompt
1006,/DoubleEG/Run2016G-07Aug17-v1/MINIAOD,T2_US_Wisconsin,2.26609,2/21/21,1613934008000,833,833,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
1007,/DoubleMuonLowMass/Run2016G-07Aug17-v1/MINIAOD,T2_US_Wisconsin,1.0537,1/1/70,0,488,488,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
1008,/Tau/Run2016G-23Sep2016-v1/MINIAOD,T1_US_FNAL_Disk,2.0656,1/1/70,0,927,927,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
1010,/TTJets_SingleLeptFromT_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM,T2_IT_Legnaro,2.21386,9/25/20,1601052446000,629,629,['t2_it_legnaro_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
1011,/DY2JetsToTauTau_M-50_TuneCUETP8M1_13TeV-madgraph-pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3-v2/MINIAODSIM,T2_US_Wisconsin,1.31688,5/14/20,1589418272000,296,296,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
1012,/SMS-T6qqllslepton_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv3-PUSummer16v3Fast_94X_mcRun2_asymptotic_v3-v1/MINIAODSIM,T1_US_FNAL_Disk,1.81211,5/22/20,1590171527000,636,636,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
1013,/TTJets_SingleLeptFromTbar_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv3-PUMoriond17_94X_mcRun2_asymptotic_v3_ext1-v2/MINIAODSIM,T2_BE_IIHE,2.13142,8/8/21,1628433477000,366,366,['t2_be_iihe_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
1014,/Cosmics/Run2016B-UL16-v1/RECO,T1_FR_CCIN2P3_Disk,6.20491,1/1/70,0,1974,1974,"['sync_t2_fr_ccin2p3', 'sync_t1_fr_ccin2p3_disk']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
1018,/TTTo2L2Nu_Hdamp-397p6_CP5_13p6TeV_powheg-pythia8/Run3Winter22MiniAOD-FlatPU0to70ECALIdeal_122X_mcRun3_2021_realistic_v9-v2/MINIAODSIM,T1_US_FNAL_Disk,1.47055,1/1/70,0,422,422,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
1020,/MuOnia/Run2011B-12Oct2013-v1/AOD,T3_CH_CERN_OpenData,5.49724,1/1/70,0,1554,1554,['t3_ch_cern_opendata_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPOA
1021,/SingleElectron/Run2016B-03Feb2017_ver2-v2/MINIAOD,T2_BE_IIHE,7.6162,6/22/20,1592850225000,1948,1948,['t2_be_iihe_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
1022,/SingleElectron/Run2016C-03Feb2017-v1/MINIAOD,T2_UK_London_IC,3.12356,6/7/20,1591559590000,797,797,['t2_uk_london_ic_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
1024,/SingleElectron/Run2016H-PromptReco-v2/MINIAOD,T2_US_Florida,3.56606,1/1/70,0,1531,1531,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prompt
1025,/ST_tW_antitop_5f_NoFullyHadronicDecays_mtop1755_TuneCP5_13TeV-powheg-pythia8/RunIISummer19UL17DIGIPremix-BACKFILL_106X_mc2017_realistic_v6-v4/GEN-SIM-DIGI,T2_RU_JINR,6.16148,9/23/20,1600865006000,372,372,['sync_t2_ru_jinr'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy MC
1026,/DoubleMuon/Run2017E-31Mar2018-v1/MINIAOD,T1_US_FNAL_Disk,1.78842,9/17/21,1631905404000,574,574,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
1027,/QCD_Pt_15to30_TuneCP5_13TeV_pythia8/RunIIAutumn18DRPremix-102X_upgrade2018_realistic_v15_ext1-v1/AODSIM,T1_US_FNAL_Disk,6.10079,1/1/70,0,1110,1110,"['sync_t2_fr_ccin2p3', 'sync_t1_us_fnal_disk']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy MC
1028,/JetHT/Run2017F-17Nov2017-v1/MINIAOD,T1_US_FNAL_Disk,4.40436,4/1/20,1585776268000,1345,1345,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
1029,/MET/Run2018C-17Sep2018-v1/MINIAOD,T2_DE_DESY,1.23255,9/17/21,1631900351000,568,568,['t2_de_desy_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
1030,/Cosmics/Run2018A-UL18-v1/RECO,T1_IT_CNAF_Disk,6.07881,4/16/20,1587080255000,1457,1457,['sync_t1_it_cnaf_disk'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
1031,/DoubleElectron/Run2012D-ZElectron-22Jan2013-v1/RAW-RECO,T2_IT_Rome,6.0574,11/27/20,1606506031000,1559,1559,['sync_t2_it_rome'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPOA
1033,/SMS-TChipmStauSnu_TuneCP2_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-PUFall18Fast_102X_upgrade2018_realistic_v15-v1/MINIAODSIM,T2_US_Florida,3.49794,5/22/20,1590187771000,1261,1261,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
1034,/QCD_HT100to200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,T2_DE_DESY,2.39073,1/19/38,2147483647000,738,738,['t2_de_desy_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
1036,/TTToSemiLeptonic_WspTgt150_TuneCUETP8M2T4_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v2/MINIAODSIM,T1_US_FNAL_Disk,1.01831,5/22/20,1590179331000,462,462,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
1038,/SinglePhoton/Run2012C-22Jan2013-v1/AOD,T3_CH_CERN_OpenData,6.19514,1/1/70,0,1618,1618,['t3_ch_cern_opendata_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPOA
1039,/DoubleEG/Run2016B-03Feb2017_ver2-v2/MINIAOD,T2_DE_DESY,4.58806,12/11/20,1607689673000,1180,1180,['t2_de_desy_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
1040,/SingleMuon/Run2016C-07Aug17-v1/MINIAOD,T2_UK_London_IC,1.45119,7/25/21,1627212267000,569,569,['t2_uk_london_ic_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
1041,/SingleMuon/Run2016C-18Apr2017-v1/MINIAOD,T1_US_FNAL_Disk,1.45177,1/1/70,0,512,512,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
1042,/DoubleEG/Run2016E-23Sep2016-v1/MINIAOD,T2_US_Florida,1.32146,1/1/70,0,531,531,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
1043,/Tau/Run2016G-18Apr2017-v1/MINIAOD,T2_US_Florida,2.07984,1/1/70,0,902,902,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
1044,/SinglePhoton/Run2017C-17Nov2017-v1/MINIAOD,T1_US_FNAL_Disk,1.31292,1/1/70,0,474,474,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
1045,/JetHT/Run2018C-PromptReco-v2/MINIAOD,T2_US_Wisconsin,1.42708,1/1/70,0,433,433,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prompt
1050,/SMS-T5qqqqZH_HToBB-mGluino-1650to1850-mLSP0to1600_TuneCP2_13TeV-madgraphMLM-pythia8/RunIIAutumn18MiniAOD-PUFall18Fast_GridpackScan_102X_upgrade2018_realistic_v15-v1/MINIAODSIM,T2_US_Vanderbilt,1.38603,10/31/20,1604155294000,601,601,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
