Unnamed: 0.1,Unnamed: 0,dataset,rse_id,DTier,size_on_tape_[TB],category
9364,9364,/GluGluToHToZZTo4L_M-120_7TeV-powheg-pythia6/Fall11-E7TeV_Ave32_50ns-v2/AODSIM,T0_CH_CERN_Tape,AODSIM,0.14557,DPOA
9542,9542,/GluGluToHToZZTo4L_M-200_7TeV-powheg-pythia6/Fall11-E7TeV_Ave32_50ns-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.14073,DPOA
9999,9999,/SUSYBBHToBB_M-200_MuEnrichedPt14_TuneZ2_7TeV-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.12824,DPOA
10068,10068,/GluGluToZZTo2L2L_7TeV-gg2zz-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.12665,DPOA
10116,10116,/LM5_SUSY_sftsht_7TeV-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.12542,DPOA
10151,10151,/GluGluToWWTo2L2Nu_25xHWidthContinInterf_M-125_mWW-300_7TeV_gg2vv315-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.12438,DPOA
10167,10167,/HPlusPlusHMinusHTo3L_M-170_7TeV-calchep-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.12407,DPOA
10173,10173,/LM13_SUSY_sftsht_7TeV-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.1239,DPOA
10203,10203,/GluGluToZZTo4L_7TeV-gg2zz-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.12327,DPOA
10224,10224,/SUSYBBHToBB_M-250_MuEnrichedPt14_TuneZ2_7TeV-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.12282,DPOA
10283,10283,/VBF_HWWToMuNuTauNu_woTOP_w5_7TeV-phantom/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.12157,DPOA
10332,10332,/LM2mhfeq360_SUSY_sftsht_7TeV-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.12014,DPOA
10358,10358,/AToZhToLLTauTau_MA-300_Mh1-125_7TeV-madgraph5-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.11944,DPOA
10375,10375,/JJHiggs0PToWWTo2L2NU_M-125p6_7TeV-JHUGenV4/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.11882,DPOA
10393,10393,/HPlusPlusHMinusHTo3L_M-150_7TeV-calchep-pythia6/Fall11-PU_S6_START42_V14B-v2/AODSIM,T0_CH_CERN_Tape,AODSIM,0.11831,DPOA
10396,10396,/AToZhToLLTauTau_MA-350_Mh1-125_7TeV-madgraph5-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.1182,DPOA
10412,10412,/SUSYBBHToBB_M-300_MuEnrichedPt14_TuneZ2_7TeV-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.1177,DPOA
10416,10416,/SUSYBBHToBB_M-180_MuEnrichedPt14_TuneZ2_7TeV-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.11759,DPOA
10417,10417,/AToZhToLLTauTau_MA-310_Mh1-125_7TeV-madgraph5-pythia6/Fall11-PU_S6_START42_V14B-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,0.11758,DPOA
